,storename,address,loncationdetail,lon,lat,city,province,district,township,geometry
0,北京星泰中心,北京市朝阳区酒仙桥路甲16号星泰中心A1-02,"116.490200,39.971870",116.4902,39.97187,北京市,北京市,朝阳区,将台镇,POINT (116.4902 39.97187)
1,后街商业广场,昆山市虹祺路243号后街商业广场C5幢楼一楼部分商铺。,"120.920690,31.411805",120.92069,31.411805,苏州市,江苏省,昆山市,玉山镇,POINT (120.92069 31.411805)
2,哈尔滨国际餐厅,哈尔滨西大直街4号567漫天地二层,"126.643240,45.756718",126.64324,45.756718,哈尔滨市,黑龙江省,南岗区,花园街道,POINT (126.64324 45.756718)
3,海那城百联奥特莱斯,济南市槐荫区美里路555号10号楼一层商铺,"116.913773,36.716513",116.913773,36.716513,济南市,山东省,槐荫区,美里湖街道,POINT (116.913773 36.716513)
4,扬州三盛店,扬州市邗江中路358号三盛国际广场5号楼1 - 4号商铺。,"119.397392,32.380924",119.397392,32.380924,扬州市,江苏省,邗江区,邗上街道,POINT (119.397392 32.380924)
5,北京龙冠置业店,北京市昌平区龙冠置业大厦A座一层A103,"116.319789,40.074331",116.319789,40.074331,北京市,北京市,昌平区,龙泽园街道,POINT (116.319789 40.074331)
6,余姚高铁南路,余姚市城区站南路199-249号余姚高铁商业广场东交1#一层1-109/1-110号商铺。,"121.168749,30.096659",121.168749,30.096659,宁波市,浙江省,余姚市,凤山街道,POINT (121.168749 30.096659)
7,北京慕田峪,北京市怀柔区渤海镇慕田峪旅游区,"116.467207,40.415310",116.467207,40.41531,北京市,北京市,怀柔区,渤海镇,POINT (116.467207 40.41531)
8,无锡海岸城店,无锡滨湖区立信大道168号海岸城39 - 101第119 - 120号商铺。,"120.302850,31.488663",120.30285,31.488663,无锡市,江苏省,滨湖区,太湖街道,POINT (120.30285 31.488663)
9,北京世界之花,北京市大兴区旧宫镇久敬庄路世界之花假日广场3F-B-07,"116.422140,39.819832",116.42214,39.819832,北京市,北京市,大兴区,旧宫镇,POINT (116.42214 39.819832)
10,荆州人信汇店,湖北省荆州市沙市区北京路人信汇1单元1层2号,"112.248290,30.308880",112.24829,30.30888,荆州市,湖北省,沙市区,崇文街道,POINT (112.24829 30.30888)
11,北京合生麒麟社,北京市朝阳区望京阜安西路11号楼CF101.102.103,"116.477866,39.997650",116.477866,39.99765,北京市,北京市,朝阳区,望京街道,POINT (116.477866 39.99765)
12,南通万达店,港闸区长平路9号万达广场1032号商铺。,"120.834277,32.036337",120.834277,32.036337,南通市,江苏省,港闸区,永兴街道,POINT (120.834277 32.036337)
13,常熟美城店,常熟市海虞北路35号美城购物中心一楼1018部分/1019部分/1037商铺及海虞北路39号一楼101部分商铺。,"120.754618,31.672835",120.754618,31.672835,苏州市,江苏省,常熟市,虞山街道,POINT (120.754618 31.672835)
14,重庆恒大中渝,重庆市渝北区红锦大道100 号都会首站二、三期T6 号楼,"106.521840,29.598630",106.52184,29.59863,重庆市,重庆市,渝北区,龙溪街道,POINT (106.52184 29.59863)
15,保定信誉楼餐厅,河北省保定市莲池区七一中路455号,"115.512260,38.878231",115.51226,38.878231,保定市,河北省,莲池区,中华路街道,POINT (115.51226 38.878231)
16,齐齐哈尔万达店,黑龙江省齐齐哈尔市建华区新江路1号（万达广场内1层1036-2035号）,"123.948942,47.367745",123.948942,47.367745,齐齐哈尔市,黑龙江省,建华区,文化街道,POINT (123.948942 47.367745)
17,温州路之遥奥特莱斯,浙江省温州乐清市北白象镇温州大桥工业区北环南路 1 号 13-130 至 13-139、13-225 至 13-229 号,"120.811557,28.020114",120.811557,28.020114,温州市,浙江省,乐清市,北白象镇,POINT (120.811557 28.020114)
18,武汉天河国际机场,湖北省武汉市黄陂区天河国际机场T3航站楼2层B区到达2A-32-1铺,"114.217958,30.771511",114.217958,30.771511,武汉市,湖北省,黄陂区,天河街道,POINT (114.217958 30.771511)
19,石家庄勒泰餐厅,河北省石家庄市长安区中山东路39号勒泰中心裙楼F2-64A、64B商铺,"114.505839,38.045380",114.505839,38.04538,石家庄市,河北省,长安区,中山东路街道,POINT (114.505839 38.04538)
20,上海宝山永辉,宝山区东林路201-10号商铺,"121.492583,31.407503",121.492583,31.407503,上海市,上海市,宝山区,友谊路街道,POINT (121.492583 31.407503)
21,北京马家堡新荟城,北京市丰台区角门19号院1、2号楼新荟城购物中心1层16号,"116.378258,39.836661",116.378258,39.836661,北京市,北京市,丰台区,马家堡街道,POINT (116.378258 39.836661)
22,青岛嘉年华餐厅,青岛市经济技术开发区嘉年华澳乐购U区U1-1,"120.171390,35.933129",120.17139,35.933129,青岛市,山东省,黄岛区,灵山卫街道,POINT (120.17139 35.933129)
23,沈阳万科明天店,沈阳市浑南新区新隆街1-26号明天广场101,"123.457608,41.722585",123.457608,41.722585,沈阳市,辽宁省,浑南区,五三街道,POINT (123.457608 41.722585)
24,福州火车北站,福州市晋安区华林路 502 号福州站北站房商业夹层 JC -02 号,"119.319544,26.112029",119.319544,26.112029,福州市,福建省,晋安区,茶园街道,POINT (119.319544 26.112029)
25,中贸广场店,陕西省西安市碑林区长安北路118号中贸广场A座北门一楼永辉超市门前,"108.945751,34.242296",108.945751,34.242296,西安市,陕西省,碑林区,长安路街道,POINT (108.945751 34.242296)
26,武汉大洋百货,武汉市汉阳区龙阳大道36号大洋百货商场B1F/1F楼B1B-31,"114.209203,30.560125",114.209203,30.560125,武汉市,湖北省,汉阳区,永丰街街道,POINT (114.209203 30.560125)
27,太原华宇,山西省太原市府西街与新建路交汇华宇精品商厦底商,"112.550161,37.874060",112.550161,37.87406,太原市,山西省,杏花岭区,三桥街道,POINT (112.550161 37.87406)
28,重庆新天地餐厅,重庆市渝中区瑞天路10号第一层117号店铺,"106.516485,29.548896",106.516485,29.548896,重庆市,重庆市,渝中区,化龙桥街道,POINT (106.516485 29.548896)
29,上海五角场店,上海市政通路189号近淞沪路，万达商业广场特力时尚汇内,"121.514735,31.300337",121.514735,31.300337,上海市,上海市,杨浦区,五角场街道,POINT (121.514735 31.300337)
30,泰州茂业百货店,泰州市南通路386号茂业百货一楼124号商铺。,"119.927069,32.497138",119.927069,32.497138,泰州市,江苏省,海陵区,城东街道,POINT (119.927069 32.497138)
31,南京珠海路未来城,南京市玄武区珠江路498 号未来城B 座地下一层至地上三层,"118.798725,32.047580",118.798725,32.04758,南京市,江苏省,玄武区,梅园新村街道,POINT (118.798725 32.04758)
32,上海金丰路,上海市闵行区运乐路599、595号,"121.282147,31.203705",121.282147,31.203705,上海市,上海市,闵行区,华漕镇,POINT (121.282147 31.203705)
33,西宁海湖万达店,西宁市广场路1号万达广场一层1037号,"101.715828,36.642648",101.715828,36.642648,西宁市,青海省,城西区,彭家寨镇,POINT (101.715828 36.642648)
34,天津百脑汇餐厅,天津市南开区鞍山西道336号天津百脑汇商铺号TJA1Y01和TJA2Y03,"117.157915,39.115481",117.157915,39.115481,天津市,天津市,南开区,万兴街道,POINT (117.157915 39.115481)
35,常州武进万达店,武进区花园街301号1007A商铺。,"119.944330,31.729388",119.94433,31.729388,常州市,江苏省,武进区,湖塘镇,POINT (119.94433 31.729388)
36,北京Plus365,北京市门头沟区冯石环路6号院3号楼华润置地Plus365一层L110,"116.110457,39.910510",116.110457,39.91051,北京市,北京市,门头沟区,永定镇,POINT (116.110457 39.91051)
37,天津津南永旺,天津市津南区辛庄镇深特广场1号楼永旺梦乐城3层360,"117.342412,39.029114",117.342412,39.029114,天津市,天津市,津南区,辛庄镇,POINT (117.342412 39.029114)
38,台州万达店,台州市椒江区开发大道790号万达广场1楼汉堡王餐厅,"121.416000,28.637125",121.416,28.637125,台州市,浙江省,椒江区,白云街道,POINT (121.416 28.637125)
39,北京华彩望京,北京市朝阳区广顺北大街16号院望京华彩商业中心1楼A101商铺,"116.468758,40.010239",116.468758,40.010239,北京市,北京市,朝阳区,东湖街道,POINT (116.468758 40.010239)
40,青岛火车站店,青岛市市南区费县路1号青岛火车站南候车室QDJ-4、QDJ-16号,"120.311605,36.063919",120.311605,36.063919,青岛市,山东省,市南区,中山路街道,POINT (120.311605 36.063919)
41,南京慕斯荟,南京市浦口区江浦街道紫晶龙华广场一楼110号商铺,"118.645958,32.073761",118.645958,32.073761,南京市,江苏省,浦口区,江浦街道,POINT (118.645958 32.073761)
42,欣都龙城,昆明市北京路1079号欣都龙城VCpark1栋L1层1-15-1号商铺,"102.733075,25.079705",102.733075,25.079705,昆明市,云南省,盘龙区,金辰街道,POINT (102.733075 25.079705)
43,太原解放路餐厅,山西省太原市杏花岭区解放路175号1号楼万达广场2003号商铺,"112.561424,37.885246",112.561424,37.885246,太原市,山西省,杏花岭区,巨轮街道,POINT (112.561424 37.885246)
44,威海九龙城店,山东省威海市经区九龙城购物中心一楼,"122.171960,37.421943",122.17196,37.421943,威海市,山东省,环翠区,皇冠街道,POINT (122.17196 37.421943)
45,天津东站餐厅,天津市河东区春华街道天津站交通枢纽后广场轨道换乘中心D区006号,"117.211538,39.137889",117.211538,39.137889,天津市,天津市,河东区,春华街道,POINT (117.211538 39.137889)
46,沈阳豫珑城店,沈阳市沈河区北中街路116号豫珑城商场一楼W119,"123.456471,41.801563",123.456471,41.801563,沈阳市,辽宁省,沈河区,皇城街道,POINT (123.456471 41.801563)
47,广州合生广场店,广州市海珠区叠景路156-170 号L2-05/06A商铺,"113.313840,23.085983",113.31384,23.085983,广州市,广东省,海珠区,凤阳街道,POINT (113.31384 23.085983)
48,长春迅驰广场,吉林省长春市南关区长春市净月区博学路1555号迅驰广场,"125.417076,43.821293",125.417076,43.821293,长春市,吉林省,南关区,净月街道,POINT (125.417076 43.821293)
